1,metric,model
0.5384615384615384,acc,PupilCalib
0.7333333333333333,acc,PupilCalib
0.75,acc,PupilCalib
0.7,acc,PupilCalib
0.6923076923076923,acc,PupilCalib
0.6923076923076923,acc,PupilCalib
0.8181818181818182,acc,PupilCalib
0.46153846153846156,acc,PupilCalib
0.5384615384615384,acc,PupilCalib
0.5384615384615384,acc,PupilCalib
0.5952380952380953,roc,PupilCalib
0.6785714285714286,roc,PupilCalib
0.7714285714285715,roc,PupilCalib
0.8,roc,PupilCalib
0.7000000000000001,roc,PupilCalib
0.7361111111111112,roc,PupilCalib
0.7857142857142857,roc,PupilCalib
0.5138888888888888,roc,PupilCalib
0.5714285714285714,roc,PupilCalib
0.4375,roc,PupilCalib
0.625,fms,PupilCalib
0.75,fms,PupilCalib
0.8235294117647058,fms,PupilCalib
0.6666666666666665,fms,PupilCalib
0.7142857142857143,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.75,fms,PupilCalib
0.36363636363636365,fms,PupilCalib
0.5714285714285714,fms,PupilCalib
0.625,fms,PupilCalib
0.5,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.7,precision,PupilCalib
0.75,precision,PupilCalib
0.8333333333333334,precision,PupilCalib
0.5,precision,PupilCalib
0.75,precision,PupilCalib
0.2857142857142857,precision,PupilCalib
0.5714285714285714,precision,PupilCalib
0.625,precision,PupilCalib
0.8333333333333334,recall,PupilCalib
0.8571428571428571,recall,PupilCalib
1.0,recall,PupilCalib
0.6,recall,PupilCalib
0.625,recall,PupilCalib
1.0,recall,PupilCalib
0.75,recall,PupilCalib
0.5,recall,PupilCalib
0.5714285714285714,recall,PupilCalib
0.625,recall,PupilCalib
0.2857142857142857,specificity,PupilCalib
0.625,specificity,PupilCalib
0.4,specificity,PupilCalib
0.8,specificity,PupilCalib
0.8,specificity,PupilCalib
0.5555555555555556,specificity,PupilCalib
0.8571428571428571,specificity,PupilCalib
0.4444444444444444,specificity,PupilCalib
0.5,specificity,PupilCalib
0.4,specificity,PupilCalib
