1,metric,model
0.47058823529411764,acc,NLP_Reading
0.7058823529411765,acc,NLP_Reading
0.5625,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.875,acc,NLP_Reading
0.9375,acc,NLP_Reading
0.625,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.8125,acc,NLP_Reading
0.47916666666666663,roc,NLP_Reading
0.7214285714285714,roc,NLP_Reading
0.5873015873015872,roc,NLP_Reading
0.71875,roc,NLP_Reading
0.890625,roc,NLP_Reading
0.96875,roc,NLP_Reading
0.738095238095238,roc,NLP_Reading
0.7421875,roc,NLP_Reading
0.734375,roc,NLP_Reading
0.8541666666666667,roc,NLP_Reading
0.47058823529411764,fms,NLP_Reading
0.6666666666666666,fms,NLP_Reading
0.5333333333333333,fms,NLP_Reading
0.761904761904762,fms,NLP_Reading
0.875,fms,NLP_Reading
0.9411764705882353,fms,NLP_Reading
0.6666666666666666,fms,NLP_Reading
0.6666666666666666,fms,NLP_Reading
0.7058823529411765,fms,NLP_Reading
0.6666666666666665,fms,NLP_Reading
0.4444444444444444,precision,NLP_Reading
0.625,precision,NLP_Reading
0.5,precision,NLP_Reading
0.8888888888888888,precision,NLP_Reading
0.875,precision,NLP_Reading
0.8888888888888888,precision,NLP_Reading
0.6666666666666666,precision,NLP_Reading
0.7142857142857143,precision,NLP_Reading
0.6666666666666666,precision,NLP_Reading
0.6,precision,NLP_Reading
0.5,recall,NLP_Reading
0.7142857142857143,recall,NLP_Reading
0.5714285714285714,recall,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.875,recall,NLP_Reading
1.0,recall,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.625,recall,NLP_Reading
0.75,recall,NLP_Reading
0.75,recall,NLP_Reading
0.4444444444444444,specificity,NLP_Reading
0.7,specificity,NLP_Reading
0.5555555555555556,specificity,NLP_Reading
0.75,specificity,NLP_Reading
0.875,specificity,NLP_Reading
0.875,specificity,NLP_Reading
0.5714285714285714,specificity,NLP_Reading
0.75,specificity,NLP_Reading
0.625,specificity,NLP_Reading
0.8333333333333334,specificity,NLP_Reading
