1,metric,model
0.8571428571428571,acc,Eye_Reading
0.5,acc,Eye_Reading
0.6,acc,Eye_Reading
0.6666666666666666,acc,Eye_Reading
0.7333333333333333,acc,Eye_Reading
0.5333333333333333,acc,Eye_Reading
0.46153846153846156,acc,Eye_Reading
0.5384615384615384,acc,Eye_Reading
0.5833333333333334,acc,Eye_Reading
0.6875,acc,Eye_Reading
0.826530612244898,roc,Eye_Reading
0.7301587301587302,roc,Eye_Reading
0.5648148148148149,roc,Eye_Reading
0.6696428571428571,roc,Eye_Reading
0.7386363636363636,roc,Eye_Reading
0.6875,roc,Eye_Reading
0.44047619047619047,roc,Eye_Reading
0.5875,roc,Eye_Reading
0.7,roc,Eye_Reading
0.7380952380952381,roc,Eye_Reading
0.8571428571428571,fms,Eye_Reading
0.19999999999999998,fms,Eye_Reading
0.5714285714285715,fms,Eye_Reading
0.6153846153846154,fms,Eye_Reading
0.5,fms,Eye_Reading
0.5333333333333333,fms,Eye_Reading
0.4615384615384615,fms,Eye_Reading
0.5714285714285715,fms,Eye_Reading
0.6153846153846154,fms,Eye_Reading
0.6153846153846153,fms,Eye_Reading
0.8571428571428571,precision,Eye_Reading
1.0,precision,Eye_Reading
0.5,precision,Eye_Reading
0.8,precision,Eye_Reading
0.5,precision,Eye_Reading
0.5,precision,Eye_Reading
0.5,precision,Eye_Reading
0.6666666666666666,precision,Eye_Reading
0.5,precision,Eye_Reading
0.6666666666666666,precision,Eye_Reading
0.8571428571428571,recall,Eye_Reading
0.1111111111111111,recall,Eye_Reading
0.6666666666666666,recall,Eye_Reading
0.5,recall,Eye_Reading
0.5,recall,Eye_Reading
0.5714285714285714,recall,Eye_Reading
0.42857142857142855,recall,Eye_Reading
0.5,recall,Eye_Reading
0.8,recall,Eye_Reading
0.5714285714285714,recall,Eye_Reading
0.8571428571428571,specificity,Eye_Reading
1.0,specificity,Eye_Reading
0.5555555555555556,specificity,Eye_Reading
0.8571428571428571,specificity,Eye_Reading
0.8181818181818182,specificity,Eye_Reading
0.5,specificity,Eye_Reading
0.5,specificity,Eye_Reading
0.6,specificity,Eye_Reading
0.42857142857142855,specificity,Eye_Reading
0.7777777777777778,specificity,Eye_Reading
