1,metric,model
0.6,acc,Eye
0.6875,acc,Eye
0.75,acc,Eye
0.9285714285714286,acc,Eye
0.7333333333333333,acc,Eye
0.7692307692307693,acc,Eye
0.4666666666666667,acc,Eye
0.5714285714285714,acc,Eye
0.5625,acc,Eye
0.4166666666666667,acc,Eye
0.5089285714285714,roc,Eye
0.7416666666666667,roc,Eye
0.7272727272727273,roc,Eye
0.9166666666666666,roc,Eye
0.7870370370370371,roc,Eye
0.20833333333333334,roc,Eye
0.5446428571428571,roc,Eye
0.7812500000000001,roc,Eye
0.5333333333333333,roc,Eye
0.3142857142857143,roc,Eye
0.625,fms,Eye
0.6153846153846153,fms,Eye
0.6666666666666666,fms,Eye
0.923076923076923,fms,Eye
0.7142857142857143,fms,Eye
0.8695652173913043,fms,Eye
0.3333333333333333,fms,Eye
0.4,fms,Eye
0.2222222222222222,fms,Eye
0.4615384615384615,fms,Eye
0.625,precision,Eye
0.5714285714285714,precision,Eye
0.5714285714285714,precision,Eye
0.8571428571428571,precision,Eye
0.625,precision,Eye
0.9090909090909091,precision,Eye
0.4,precision,Eye
1.0,precision,Eye
0.3333333333333333,precision,Eye
0.375,precision,Eye
0.625,recall,Eye
0.6666666666666666,recall,Eye
0.8,recall,Eye
1.0,recall,Eye
0.8333333333333334,recall,Eye
0.8333333333333334,recall,Eye
0.2857142857142857,recall,Eye
0.25,recall,Eye
0.16666666666666666,recall,Eye
0.6,recall,Eye
0.5714285714285714,specificity,Eye
0.7,specificity,Eye
0.7272727272727273,specificity,Eye
0.875,specificity,Eye
0.6666666666666666,specificity,Eye
0.0,specificity,Eye
0.625,specificity,Eye
1.0,specificity,Eye
0.8,specificity,Eye
0.2857142857142857,specificity,Eye
