1,metric,model
0.5882352941176471,acc,Reading
0.7647058823529411,acc,Reading
0.75,acc,Reading
0.6875,acc,Reading
0.9375,acc,Reading
0.5,acc,Reading
0.8125,acc,Reading
0.5625,acc,Reading
0.6875,acc,Reading
0.625,acc,Reading
0.5757575757575758,roc,Reading
0.8402777777777777,roc,Reading
0.753968253968254,roc,Reading
0.7272727272727274,roc,Reading
0.9363636363636364,roc,Reading
0.6166666666666667,roc,Reading
0.8095238095238095,roc,Reading
0.5396825396825398,roc,Reading
0.6428571428571428,roc,Reading
0.6904761904761905,roc,Reading
0.631578947368421,fms,Reading
0.7999999999999999,fms,Reading
0.75,fms,Reading
0.7368421052631579,fms,Reading
0.9090909090909091,fms,Reading
0.5555555555555556,fms,Reading
0.823529411764706,fms,Reading
0.4615384615384615,fms,Reading
0.5454545454545454,fms,Reading
0.6250000000000001,fms,Reading
0.75,precision,Reading
0.7272727272727273,precision,Reading
0.6666666666666666,precision,Reading
0.875,precision,Reading
0.8333333333333334,precision,Reading
0.4166666666666667,precision,Reading
0.875,precision,Reading
0.5,precision,Reading
0.75,precision,Reading
0.5555555555555556,precision,Reading
0.5454545454545454,recall,Reading
0.8888888888888888,recall,Reading
0.8571428571428571,recall,Reading
0.6363636363636364,recall,Reading
1.0,recall,Reading
0.8333333333333334,recall,Reading
0.7777777777777778,recall,Reading
0.42857142857142855,recall,Reading
0.42857142857142855,recall,Reading
0.7142857142857143,recall,Reading
0.6666666666666666,specificity,Reading
0.625,specificity,Reading
0.6666666666666666,specificity,Reading
0.8,specificity,Reading
0.9090909090909091,specificity,Reading
0.3,specificity,Reading
0.8571428571428571,specificity,Reading
0.6666666666666666,specificity,Reading
0.8888888888888888,specificity,Reading
0.5555555555555556,specificity,Reading
